Country,c_code,GCI_2020,inflation_cpi,govt_expenditure_pct_gdp,gross_capital_formation_pct_gdp,trade_openness,industry_share_gdp,gdp_growth,gdp_pc_current_usd,gdp_pc_ppp,gni_per_capita_ppp,youth_literacy,comp_edu_duration,primary_enorllment_gross,secondary_enrollment_gross,tertiary_enrollment_gross,govt_expenditure_edu_pct,unemployment_ilo,HCI_2020
Afghanistan,AFG,5.203512727201463,5.60188791482224,22.1092193573017,11.5,46.7098945514103,12.9525996015547,-2.35110067203466,510.787063366811,2561.98176058622,2580.0,53.9721805049471,9.0,,,10.85435962677,,11.71,0.4
Angola,AGO,12.994070567139236,22.271539247051,11.4461511598374,19.6439562319095,54.3442286847189,36.7098511285088,-4.04244724639663,1759.35619918264,7827.42804325818,7250.0,,10.0,,,,5.29473572273771,16.696,0.36
Albania,ALB,64.32106632384881,1.62088661717004,13.6673304618118,26.2183472454095,59.5206994391875,23.4687164183412,-3.31375636888916,6027.91350716348,16287.6097663649,16020.0,,9.0,100.020970049835,95.9294474518951,61.5853024328899,10.267430305481,11.639,0.63
Andorra,AND,26.37853242136431,,,,,12.6601582717327,-11.1839399355384,37361.1070081615,52095.8414004627,58900.0,,10.0,89.4271272114575,97.1500396728516,15.2605749006777,8.99186922593895,,
United Arab Emirates,ARE,98.06130127925962,-2.07940317940944,14.8528181861846,22.8266562576,181.29188817064,40.3215883178557,-8.69342617885171,37991.7492971665,66790.6822664754,66440.0,,12.0,108.069803864287,99.1635400791877,54.9746998074699,12.7982301712036,4.294,0.67
Argentina,ARG,50.119036387805785,42.0150947376509,16.8730073837365,14.4151557410245,30.203698807416,22.4088763711802,-9.9004848136464,8535.59938004389,22393.3479575353,21790.0,99.6800003051758,14.0,108.504623413086,112.376731872559,99.3697348717996,12.4222898483276,11.461,0.6
Armenia,ARM,50.47414603441946,1.21143577838465,14.9686182373692,19.663832943599,70.1213571368789,26.8172956979296,-7.19999999920631,4268.68093304583,14706.3173043422,14470.0,99.870002746582,12.0,92.8692618061259,88.5080298201293,52.3331534448642,8.82777976989746,18.175,0.58
Antigua and Barbuda,ATG,15.615246087583332,0.625989707046719,,,94.289529886499,21.1209995224877,-18.8687765208148,15369.6082250401,22370.0918693813,22380.0,,11.0,,,,7.37875673022059,,0.6
Australia,AUS,97.4674007977187,0.846905537459305,21.8138607927779,22.3449300806534,44.499564103879,25.402839408227,-0.133531904304775,51983.4523666382,54184.1614486854,52890.0,,11.0,99.9011077880859,137.490737915039,110.139221191406,12.1686601638794,6.394,0.77
Austria,AUT,93.8931269060767,1.38191063351862,21.1529340170726,25.6530737541266,99.9482141095975,25.6544867826211,-6.31825509209936,48716.4098900349,58523.0337816246,59170.0,,13.0,101.560852050781,101.690559387207,88.7071990966797,9.73538017272949,5.201,0.75
Azerbaijan,AZE,89.3097838514196,2.75980947008127,16.2189420775689,23.6659543305763,72.0178676487811,41.9563201571824,-4.19896065333343,4229.91064904503,15163.5703327282,15070.0,,9.0,98.2360713897839,91.365513501165,36.3854742250215,10.7878503799438,7.24,0.58
Burundi,BDI,1.727957760407723,7.32110643415521,25.7299573934325,,,16.3339922370636,0.306443809481593,255.8324539389,958.135599490084,960.0,88.3979336343743,,101.661087301601,44.9151717353101,,20.7419523430914,1.03,0.39
Belgium,BEL,96.25422116527945,0.740791812220344,24.3008045914304,24.068567845367,156.950121282783,19.0811705163268,-4.7929839083518,45906.2875805246,56120.0958420466,56620.0,,12.0,102.064270019531,151.727508544922,79.4996032714844,11.5557899475098,5.545,0.76
Benin,BEN,80.0641298788483,3.02272119663759,11.3993621464496,25.6338435081567,44.8332333768726,16.2905490528658,3.84879240030133,1200.19426557789,3244.58772756805,3220.0,,6.0,104.033172607422,43.9858703613281,10.3808002471924,15.7203538987759,1.518,0.4
Burkina Faso,BFA,39.9832384132157,1.88470066518847,19.7841401519952,17.1615174265995,60.7397786403239,29.4694767840377,2.01077262406221,825.237038782475,2380.72282781802,2280.0,,10.0,87.6988473437538,39.2540084845692,7.64277062242324,20.9924587920549,4.59,0.38
Bangladesh,BGD,81.27036583031082,5.69107474746211,5.97120729189186,31.3079413414304,26.271447376215,32.9115650824449,3.44801755122445,2248.85078828233,6640.58437331062,6920.0,94.4599990844727,5.0,110.066619873047,66.4329548486639,22.6923019564501,15.0307025894897,5.539,0.46
Bulgaria,BGR,67.38238124255135,1.67244096855756,19.3251141847366,20.1519208043409,110.423899846249,21.843324087593,-3.13323303076419,10760.211975413,27351.8607448601,26360.0,,11.0,96.5437622070312,101.354942321777,85.5331115722656,11.914999961853,5.037,0.61
Bahrain,BHR,77.8595125430757,-2.31770629331379,16.5555426921807,37.2956671453326,135.460985012931,39.1001079781372,-5.9113629524152,24342.8444554718,53436.0316999712,49770.0,,9.0,,,54.4077922369055,7.1386052862896,1.765,0.65
"Bahamas, The",BHS,13.366881322674624,0.0385210980054558,21.7683727034121,23.0710591323143,53.4207580670063,12.1169136946117,-20.0893664891399,26178.7537607708,27204.625909518,25810.0,,12.0,,,,12.6566403628894,12.016,
Bosnia and Herzegovina,BIH,29.443871698918457,-1.0512960076349,20.7503447462277,23.4676997821764,82.5216467994007,23.7775660166922,-3.01509335460439,6130.31187968266,16369.9353197836,16280.0,,9.0,100.263931274414,85.5591125488281,43.8039207458496,,15.868,0.58
Belarus,BLR,50.56683763244383,5.54814357456511,16.9649774780792,27.4548359346196,118.934176146534,31.3515556956682,-0.672742918585868,6542.85579976768,24872.3066744528,23860.0,,9.0,95.5250148309274,100.575710351095,79.900160036935,12.7811498641968,4.049,0.7
Belize,BLZ,10.29010968891442,0.121434644614894,17.2815933847204,18.4434323395975,81.6431433128545,16.2275294669346,-13.5228997055506,5238.54078175696,9638.89513695889,9360.0,,8.0,112.251430128031,86.1886596150512,25.9421694120047,18.9935398101807,10.763,
Bolivia,BOL,16.138067652303285,0.940742153381849,18.606656345504,17.268345922029,37.5164342446486,27.2757447830119,-12.7194690092717,3580.96761778303,9580.98962081658,9490.0,99.5599975585938,14.0,98.2369486079625,88.8672369779995,,22.9417705535889,7.903,
Brazil,BRA,96.5979811759706,3.21176803803376,20.1351530146558,16.1158206044059,32.3020785443492,19.5061183897524,-3.27675879612903,7074.19407495707,16101.6183062954,15770.0,99.2,14.0,105.498199462891,104.125999450684,54.572811126709,12.4982500076294,13.697,0.55
Barbados,BRB,16.894020320517903,,,,,13.14764982754,-14.3647119341564,19194.4919736739,16555.3622145235,16350.0,,11.0,94.5134829805,104.318992614746,52.971630831,16.1424694061279,10.586,
Brunei Darussalam,BRN,56.07251283897301,1.94031996607184,25.4309862541788,40.5878302733583,110.291003658452,59.1336302400797,1.1335733495246,26834.3592233943,69787.9632795717,71890.0,,9.0,102.709633966272,86.6857810342997,29.1961193084717,,7.409,0.63
Bhutan,BTN,18.34299671108046,5.62936522632508,22.3153543493509,39.0705723574357,71.8303510394637,31.7909765311756,-10.2183974208569,3191.66906999331,12475.048003428,11750.0,,,103.826009511759,89.7711428873908,16.8650740250552,16.2551386021737,5.03,0.48
