Country,c_code,model,y_true,y_pred,residual,abs_error,income_group
Burkina Faso,BFA,Linear Regression,39.9832384132157,10.256068177880103,29.7271702353356,29.7271702353356,Low income
Belarus,BLR,Linear Regression,50.56683763244383,85.92314442331002,-35.35630679086619,35.35630679086619,Upper middle income
United Kingdom,GBR,Linear Regression,99.5399451303155,94.05513492863764,5.48481020167786,5.48481020167786,High income
Malawi,MWI,Linear Regression,36.82955060704771,18.048932226938568,18.78061838010914,18.78061838010914,Low income
Ghana,GHA,Linear Regression,86.68728117435491,49.312955021352494,37.374326153002414,37.374326153002414,Lower middle income
Ecuador,ECU,Linear Regression,26.298061330912244,59.27914704985683,-32.981085718944584,32.981085718944584,Upper middle income
Germany,DEU,Linear Regression,97.4100931507712,92.71643941592548,4.693653734845725,4.693653734845725,High income
Bangladesh,BGD,Linear Regression,81.27036583031082,66.9635067616452,14.306859068665617,14.306859068665617,Lower middle income
Mongolia,MNG,Linear Regression,26.203541264247548,60.56003241144645,-34.3564911471989,34.3564911471989,Lower middle income
Madagascar,MDG,Linear Regression,23.32595571849347,18.41070844588701,4.915247272606461,4.915247272606461,Low income
Sierra Leone,SLE,Linear Regression,25.314660930577496,37.89669450691335,-12.582033576335853,12.582033576335853,Low income
Ireland,IRL,Linear Regression,85.85878880707858,104.94754222951632,-19.088753422437733,19.088753422437733,High income
Panama,PAN,Linear Regression,34.10954236299384,51.53617144724009,-17.42662908424625,17.42662908424625,Upper middle income
Ethiopia,ETH,Linear Regression,27.742517304576413,44.522175012798684,-16.77965770822227,16.77965770822227,Low income
South Africa,ZAF,Linear Regression,78.46293525391707,29.13923781187888,49.32369744203819,49.32369744203819,Upper middle income
Guinea,GIN,Linear Regression,20.525536809173424,21.47149716877791,-0.9459603596044843,0.9459603596044843,Low income
Hungary,HUN,Linear Regression,91.2753036075304,69.33993733339045,21.93536627413995,21.93536627413995,High income
Botswana,BWA,Linear Regression,53.05608520296072,16.678274549561337,36.377810653399386,36.377810653399386,Upper middle income
Libya,LBY,Linear Regression,28.780504218139697,29.518472499273813,-0.7379682811341155,0.7379682811341155,Upper middle income
Poland,POL,Linear Regression,93.85606640487646,86.64200899437076,7.214057410505703,7.214057410505703,High income
Malta,MLT,Linear Regression,83.6477478904534,73.07759808023668,10.57014981021672,10.57014981021672,High income
Trinidad and Tobago,TTO,Linear Regression,22.18029642416973,68.95478494172741,-46.774488517557685,46.774488517557685,High income
Greece,GRC,Linear Regression,93.9826919455881,67.76556879030223,26.217123155285876,26.217123155285876,High income
Uruguay,URY,Linear Regression,75.1540315381022,69.47645311150883,5.677578426593371,5.677578426593371,High income
Luxembourg,LUX,Linear Regression,97.4100931507712,67.74344350949048,29.666649641280728,29.666649641280728,High income
Latvia,LVA,Linear Regression,97.2805269516682,76.58107428233872,20.699452669329474,20.699452669329474,High income
Niger,NER,Linear Regression,11.36098387100601,19.718450131078285,-8.357466260072275,8.357466260072275,Low income
Fiji,FJI,Linear Regression,29.075341651133897,41.17269569086727,-12.097354039733375,12.097354039733375,Upper middle income
Maldives,MDV,Linear Regression,2.948226659559637,39.837003731788045,-36.88877707222841,36.88877707222841,Upper middle income
India,IND,Linear Regression,97.49450579769008,54.63742700701593,42.85707879067415,42.85707879067415,Lower middle income
Equatorial Guinea,GNQ,Linear Regression,1.4600374400603742,48.73362897515675,-47.27359153509637,47.27359153509637,Upper middle income
Syrian Arab Republic,SYR,Linear Regression,22.14212346754856,27.004154715751678,-4.862031248203117,4.862031248203117,Low income
Kenya,KEN,Linear Regression,81.69558311060074,49.076448395093536,32.6191347155072,32.6191347155072,Lower middle income
France,FRA,Linear Regression,97.60198444858491,89.29168678624717,8.310297662337746,8.310297662337746,High income
North Macedonia,MKD,Linear Regression,89.92061027270192,49.28092290307031,40.63968736963161,40.63968736963161,Upper middle income
Kuwait,KWT,Linear Regression,75.05126270651475,61.695811580166975,13.355451126347774,13.355451126347774,High income
Jordan,JOR,Linear Regression,70.95522471902197,46.35450576849398,24.60071895052799,24.60071895052799,Upper middle income
Guinea-Bissau,GNB,Linear Regression,9.848674476677724,41.25060433796116,-31.401929861283435,31.401929861283435,Low income
"Congo, Dem. Rep.",COD,Linear Regression,5.296650994351706,13.722565947129617,-8.42591495277791,8.42591495277791,Low income
Qatar,QAT,Linear Regression,94.5029144720037,71.49782436586604,23.005090106137658,23.005090106137658,High income
Pakistan,PAK,Linear Regression,64.87513741811078,44.17970805952174,20.695429358589045,20.695429358589045,Lower middle income
Seychelles,SYC,Linear Regression,13.233543959337398,59.09191087576185,-45.85836691642445,45.85836691642445,High income
Kazakhstan,KAZ,Linear Regression,93.1529940774246,87.23923472005464,5.913759357369955,5.913759357369955,Upper middle income
Marshall Islands,MHL,Linear Regression,4.901640394941037,-1.6123684246414598,6.514008819582497,6.514008819582497,Upper middle income
Djibouti,DJI,Linear Regression,1.727957760407723,26.78177281542172,-25.053815055014,25.053815055014,Lower middle income
Ukraine,UKR,Linear Regression,65.92918373376024,62.252100288218166,3.677083445542074,3.677083445542074,Lower middle income
Indonesia,IDN,Linear Regression,94.88161470716162,70.1712331907561,24.71038151640552,24.71038151640552,Lower middle income
San Marino,SMR,Linear Regression,13.831603116579876,61.160143292874274,-47.328540176294396,47.328540176294396,High income
Lesotho,LSO,Linear Regression,9.07911844353884,-4.011209818539626,13.090328262078467,13.090328262078467,Lower middle income
Kyrgyz Republic,KGZ,Linear Regression,49.63715318655919,47.23704906268415,2.400104123875039,2.400104123875039,Lower middle income
"Gambia, The",GMB,Linear Regression,32.12214021964833,39.519336271495106,-7.397196051846777,7.397196051846777,Low income
Costa Rica,CRI,Linear Regression,67.45223272636754,62.57703159667753,4.875201129690012,4.875201129690012,Upper middle income
Sri Lanka,LKA,Linear Regression,58.64647306207936,83.0755945883846,-24.429121526305245,24.429121526305245,Lower middle income
Colombia,COL,Linear Regression,63.72467605918338,64.64050166187904,-0.9158256026956622,0.9158256026956622,Upper middle income
Israel,ISR,Linear Regression,90.93233883644888,78.43261340577862,12.499725430670253,12.499725430670253,High income
Turkmenistan,TKM,Linear Regression,14.479243750138837,64.61371950333013,-50.134475753191296,50.134475753191296,Upper middle income
