Model,Income Group,N,Mean MAE,Mean Residual
Linear Regression,Low income,19,16.046,5.032
Linear Regression,Lower middle income,41,25.461,-2.592
Linear Regression,Upper middle income,41,21.94,-1.844
Linear Regression,High income,40,17.483,1.052
GAM,Low income,19,16.209,1.604
GAM,Lower middle income,41,24.536,-0.994
GAM,Upper middle income,41,21.328,-0.458
GAM,High income,40,17.7,0.314
SVR,Low income,19,18.687,-6.877
SVR,Lower middle income,41,25.836,-0.568
SVR,Upper middle income,41,21.516,-0.833
SVR,High income,40,16.349,0.528
XGBoost,Low income,19,17.978,-7.169
XGBoost,Lower middle income,41,22.718,2.126
XGBoost,Upper middle income,41,19.487,0.098
XGBoost,High income,40,11.984,0.247
